"GO ID";"m";"stat";"p"
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002357"";""GO:0002357"")";3963;226,276089508453;0,4126
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002376"";""GO:0002376"")";5999;510,633208818535;0,2464
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002377"";""GO:0002377"")";265;0;1
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002381"";""GO:0002381"")";1782;798,826444880434;0,0241
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002407"";""GO:0002407"")";2431;158,213093651042;0,3258
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002429"";""GO:0002429"")";211;83,853345897835;0,0409
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002430"";""GO:0002430"")";1526;247,689275725437;0,1017
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002437"";""GO:0002437"")";2909;242,037646352425;0,2557
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002456"";""GO:0002456"")";1102;78,6656134955771;0,2748
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002469"";""GO:0002469"")";268;0;1
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002474"";""GO:0002474"")";1276;24,4478625241817;0,6667
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002476"";""GO:0002476"")";610;7,49030470914127;0,6719
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002477"";""GO:0002477"")";136;0;1
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002486"";""GO:0002486"")";1272;14,3305413955318;0,8053
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002491"";""GO:0002491"")";181;0;1
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002503"";""GO:0002503"")";1721;791,577924170375;0,0211
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002523"";""GO:0002523"")";1511;97,7104888757167;0,3155
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002526"";""GO:0002526"")";1384;157,536939068918;0,1624
