"Pathway ID";"m";"stat";"p"
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5339562"";""R-HSA-5339562"")";7017;351,202290851074;0,5279
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5675482"";""R-HSA-5675482"")";2558;145,631539464041;0,3895
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-111446"";""R-HSA-111446"")";329;7,65052059755546;0,5027
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-111453"";""R-HSA-111453"")";1236;179,332697711198;0,1246
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-193648"";""R-HSA-193648"")";15921;1374,15999257573;0,2884
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-193704"";""R-HSA-193704"")";20269;2449,29409120105;0,1482
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-204998"";""R-HSA-204998"")";17732;1624,91812711727;0,2684
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6802952"";""R-HSA-6802952"")";15138;2037,84123743466;0,127
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6802957"";""R-HSA-6802957"")";17886;2329,15679695914;0,1224
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-73887"";""R-HSA-73887"")";25394;2729,80585970024;0,1856
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8862803"";""R-HSA-8862803"")";2875;147,595794864168;0,4415
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8863678"";""R-HSA-8863678"")";2875;147,595794864168;0,4414
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8878159"";""R-HSA-8878159"")";15692;1730,24996257146;0,197
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8952158"";""R-HSA-8952158"")";662;24,4898124833005;0,4382
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9614657"";""R-HSA-9614657"")";1819;466,494654767181;0,0518
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9645723"";""R-HSA-9645723"")";6492;768,372726183357;0,1553
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1268020"";""R-HSA-1268020"")";5805;321,069443885349;0,4661
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5205647"";""R-HSA-5205647"")";7317;864,815571803328;0,1521
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5205685"";""R-HSA-5205685"")";6393;805,636535882009;0,1398
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1433557"";""R-HSA-1433557"")";10280;791,720072378857;0,3358
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1433559"";""R-HSA-1433559"")";4290;363,956432124486;0,2626
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9706369"";""R-HSA-9706369"")";2092;113,576380937034;0,3983
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-983231"";""R-HSA-983231"")";34304;2704,06854589315;0,3791
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-3781865"";""R-HSA-3781865"")";39777;3684,02018242616;0,275
